ROI,x,y,z
1,14.08,56.69,-16.68
2,9.58,17.58,-19.53
3,5.27,35.03,-17.53
4,15.65,34.19,-22.54
5,8.29,46.06,-1.69
6,14.58,64.75,3.68
7,30.43,54.78,-3.32
8,44.47,46.1,-4.92
9,28.81,51.14,18.75
10,8.52,53.28,23.89
11,37.63,35.44,31.1
12,14.58,36.74,49.11
13,24.03,30.71,36.4
14,40.59,14.59,48.28
15,6.81,21.45,31.41
16,53.6,24.85,0.89
17,33.42,37.28,-16.39
18,26.56,19.55,-21.32
19,48.17,35.81,15.18
20,37.05,20.8,6.0
21,55.34,9.6,22.03
22,39.93,17.65,29.11
23,57.76,-8.17,27.18
24,6.15,-22.18,65.57
25,7.0,-8.03,53.02
26,26.36,-12.97,66.17
27,49.22,-4.46,47.96
28,6.26,14.01,48.64
29,13.78,6.36,65.39
30,25.24,12.38,49.44
31,39.82,3.48,34.07
32,32.17,-5.32,51.84
33,41.99,-23.26,53.38
34,41.81,4.86,-7.54
35,41.32,3.52,7.26
36,37.65,21.22,-10.09
37,38.26,-12.4,-1.15
38,32.55,-39.11,49.53
39,20.05,-33.28,69.69
40,43.31,-10.87,13.83
41,25.3,-52.37,67.98
42,14.65,-68.43,35.0
43,31.58,-60.74,49.28
44,7.56,-57.28,61.78
45,52.95,-27.27,40.81
46,57.97,-29.27,19.6
47,54.18,-45.25,37.04
48,47.79,-61.56,34.71
49,41.39,-75.34,27.92
50,48.87,-58.01,14.3
51,27.18,11.62,-39.15
52,40.02,19.0,-34.24
53,52.88,10.85,-21.83
54,50.02,-33.92,-0.67
55,61.29,-22.84,-22.51
56,54.53,-7.74,-31.51
57,46.89,3.94,-39.88
58,40.27,-11.11,-35.81
59,43.49,-26.28,-24.72
60,31.51,0.65,-44.42
61,59.16,-3.32,2.67
62,39.79,-25.64,14.45
63,61.87,-23.61,-2.74
64,56.46,-8.56,-14.3
65,59.24,-43.73,8.62
66,46.51,-59.8,-14.72
67,36.57,-69.28,-17.44
68,25.13,-44.53,-12.2
69,55.26,-56.28,-4.8
70,60.8,-43.38,-17.65
71,41.68,-45.65,-22.58
72,20.96,-63.6,-9.01
73,30.11,-83.01,20.47
74,45.12,-74.23,2.6
75,18.95,-81.84,41.54
76,18.04,-83.39,-11.25
77,8.02,-74.84,24.79
78,23.66,-95.88,6.63
79,7.18,-75.58,-2.84
80,8.34,-88.45,12.17
81,31.0,-91.9,-10.8
82,14.87,-68.42,8.28
83,8.04,34.71,17.2
84,5.54,-0.89,35.52
85,5.36,-39.11,26.89
86,12.37,-57.19,18.02
87,28.38,-53.86,7.0
88,7.31,-18.89,30.01
89,8.05,-22.92,44.99
90,6.33,-57.19,38.09
91,8.38,-39.78,48.1
92,31.23,3.68,-21.72
93,28.75,-36.86,-0.1
94,35.63,-14.69,-18.43
95,28.02,-28.48,-13.67
96,29.34,-19.65,-26.37
97,24.57,-2.63,-30.74
98,14.6,-46.15,2.8
99,19.22,-7.66,-14.84
100,32.23,-78.47,-40.41
101,6.49,-50.61,-12.18
102,38.87,-74.91,-29.59
103,13.61,-40.11,-25.34
104,23.47,-35.96,-42.92
105,7.17,-68.14,-37.65
106,7.48,-68.81,-20.83
107,45.84,-46.37,-42.53
108,16.19,-47.28,-52.56
109,23.49,-59.18,-52.2
110,21.05,-54.86,-23.74
111,11.77,-84.16,-34.71
112,19.76,-73.49,-50.13
113,36.79,-57.13,-32.79
114,22.98,-71.93,-29.12
115,7.74,-56.63,-50.81
