ROI,x,y,z,hemisphere,lobe
1,-18.23,19.01,-21.05,L,Prefrontal
2,-5.73,18.01,-21.51,L,Prefrontal
3,-7.82,39.82,-21.44,L,Prefrontal
4,-6.76,48.16,-5.73,L,Prefrontal
5,-18.23,56.99,-14.28,L,Prefrontal
6,-5.81,48.04,11.79,L,Prefrontal
7,-11.72,65.14,4.18,L,Prefrontal
8,-29.28,54.22,2.5,L,Prefrontal
9,-42.74,47.29,-6.89,L,Prefrontal
10,-28.9,50.13,21.66,L,Prefrontal
11,-10.03,55.63,30.35,L,Prefrontal
12,-27.39,34.15,36.31,L,Prefrontal
13,-46.1,28.2,26.77,L,Prefrontal
14,-11.11,34.28,51.54,L,Prefrontal
15,-39.36,17.15,46.74,L,Prefrontal
16,-4.84,17.76,46.21,L,Prefrontal
17,-46.17,28.27,-7.22,L,Prefrontal
18,-28.4,35.97,-15.69,L,Prefrontal
19,-32.07,20.38,-16.0,L,Prefrontal
20,-43.08,41.93,11.01,L,Prefrontal
21,-32.47,22.17,5.88,L,Prefrontal
22,-53.02,18.47,10.64,L,Prefrontal
23,-46.21,7.92,28.52,L,Motor
24,-41.59,-14.79,44.73,L,Motor
25,-58.06,-5.59,27.2,L,Motor
26,-16.2,-19.03,69.48,L,Motor
27,-6.41,-4.4,47.58,L,Motor
28,-9.04,0.46,66.51,L,Motor
29,-56.92,-3.5,6.75,L,Motor
30,-23.21,10.67,53.52,L,Motor
31,-45.89,-0.51,49.24,L,Motor
32,-27.45,-8.97,55.91,L,Motor
33,-35.76,-23.22,65.62,L,Motor
34,-39.02,1.72,9.6,L,Motor
35,-38.74,8.05,-4.72,L,Motor
36,-37.7,-12.89,-1.42,L,Motor
37,-50.64,-23.81,41.36,L,Motor
38,-23.65,-31.61,63.36,L,Motor
39,-41.25,-15.5,14.44,L,Insula
40,-7.26,-33.92,67.36,L,Insula
41,-25.38,-54.66,64.11,L,Insula
42,-9.23,-70.98,31.96,L,Insula
43,-28.34,-62.47,40.43,L,Insula
44,-9.64,-66.09,55.29,L,Parietal
45,-35.84,-39.3,47.48,L,Parietal
46,-42.3,-31.28,15.88,L,Parietal
47,-59.36,-25.98,21.99,L,Parietal
48,-42.08,-65.57,41.67,L,Parietal
49,-51.32,-56.27,20.49,L,Parietal
50,-53.42,-43.52,38.81,L,Parietal
51,-37.83,6.06,-37.72,L,Parietal
52,-34.72,18.69,-32.33,L,Parietal
53,-49.52,11.07,-30.45,L,Parietal
54,-49.85,6.4,-15.1,L,Parietal
55,-22.85,9.05,-38.68,L,Parietal
56,-57.61,-6.43,-22.61,L,Parietal
57,-58.94,-29.97,3.52,L,Parietal
58,-57.84,-47.54,5.27,L,Parietal
59,-59.89,-27.46,-18.13,L,Parietal
60,-49.34,-4.69,-37.47,L,Parietal
61,-37.82,-13.1,-29.22,L,Parietal
62,-51.84,-18.24,-28.81,L,Parietal
63,-56.94,-14.55,-6.83,L,Temporal
64,-26.65,-42.8,-16.04,L,Temporal
65,-60.38,-49.96,-14.1,L,Temporal
66,-42.52,-52.23,-17.38,L,Temporal
67,-46.61,-39.93,-24.21,L,Temporal
68,-29.87,-5.83,-40.93,L,Temporal
69,-41.26,-75.45,22.72,L,Temporal
70,-31.69,-87.07,12.52,L,Temporal
71,-17.02,-50.85,0.7,L,Temporal
72,-43.15,-70.4,-13.9,L,Temporal
73,-25.91,-63.22,-12.24,L,Temporal
74,-16.53,-84.95,33.1,L,Temporal
75,-48.18,-67.21,1.0,L,Temporal
76,-35.97,-84.07,-3.95,L,Temporal
77,-8.88,-70.61,-1.75,L,Temporal
78,-10.61,-98.15,7.68,L,Temporal
79,-14.58,-83.96,-12.99,L,Temporal
80,-22.18,-96.74,-10.03,L,Temporal
81,-5.73,-81.33,12.16,L,Temporal
82,-22.08,-66.7,7.45,L,Temporal
83,-23.65,-41.29,19.86,L,Occipital
84,-7.54,-22.31,46.19,L,Occipital
85,-5.79,34.17,26.29,L,Occipital
86,-3.43,-4.93,32.64,L,Occipital
87,-4.98,13.27,28.6,L,Occipital
88,-8.46,-58.91,17.62,L,Occipital
89,-4.94,-36.08,32.03,L,Occipital
90,-7.31,-18.32,29.97,L,Occipital
91,-6.45,-54.26,37.4,L,Occipital
92,-8.73,-42.78,50.25,L,Occipital
93,-7.46,-42.13,13.4,L,Occipital
94,-26.71,2.3,-18.58,L,Occipital
95,-21.52,-36.99,5.77,L,Occipital
96,-32.13,-40.14,-3.96,L,Occipital
97,-22.78,-12.65,-17.31,L,Occipital
98,-35.66,-24.82,-14.96,L,Occipital
99,-20.73,-30.76,-11.18,L,Occipital
100,-30.56,-23.92,-26.69,L,Occipital
101,-21.52,-4.1,-29.34,L,Limbic
102,-6.28,-66.27,-37.7,L,Limbic
103,-8.56,-50.71,-39.5,L,Limbic
104,-36.95,-52.91,-31.22,L,Limbic
